omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant,omitted_source_domain
6,audience_participation,0.7142339902549939,0.6797809008995469,-0.034453089355447,True,Clinical diagnostics & case reports
6,semantic_span,0.1252158315367866,0.116014355212367,-0.0092014763244195,True,Clinical diagnostics & case reports
7,directed_modularity,0.4757691504547512,0.5036594845027036,0.0278903340479523,True,Electrochemical materials
7,audience_participation,0.7244010218722714,0.6915603678958249,-0.0328406539764465,True,Electrochemical materials
7,semantic_span,0.1267156960227934,0.117596652326324,-0.0091190436964694,True,Electrochemical materials
8,directed_modularity,0.4853458046102475,0.514182594530966,0.0288367899207184,True,Humanities & politics
8,audience_participation,0.7140706654328772,0.679638830696883,-0.0344318347359942,True,Humanities & politics
8,semantic_span,0.1237756490638561,0.1144161931502824,-0.0093594559135736,True,Humanities & politics
9,directed_modularity,0.483643293804182,0.5133443978885451,0.0297011040843631,True,Cell & neural biology
9,audience_participation,0.7152717917753342,0.6802719653866938,-0.0349998263886404,True,Cell & neural biology
9,semantic_span,0.1255586140156816,0.1162129751348401,-0.0093456388808414,True,Cell & neural biology
10,directed_modularity,0.4835692850507093,0.5123656310109624,0.0287963459602531,True,Social behavior & violence
10,audience_participation,0.7157550187629393,0.6814157422112824,-0.0343392765516569,True,Social behavior & violence
10,semantic_span,0.1251642364099923,0.1159130668369527,-0.0092511695730396,True,Social behavior & violence
11,directed_modularity,0.4811496686936302,0.5096951892411931,0.0285455205475628,True,Mental health & cognition
11,audience_participation,0.7173659235269034,0.6832460209812572,-0.0341199025456462,True,Mental health & cognition
11,semantic_span,0.1254703236687567,0.116098634288816,-0.0093716893799407,True,Mental health & cognition
12,directed_modularity,0.4808202398074342,0.5119532493291168,0.0311330095216825,True,Computing & networks
12,audience_participation,0.7178574407546315,0.680879294918534,-0.0369781458360974,True,Computing & networks
12,semantic_span,0.1249876878445654,0.1152025851023212,-0.0097851027422441,True,Computing & networks
13,directed_modularity,0.4813171782138631,0.5103515602512975,0.0290343820374343,True,Marine ecology & paleoscience
13,audience_participation,0.717968185897143,0.6835178664650216,-0.0344503194321214,True,Marine ecology & paleoscience
13,semantic_span,0.1257904774673369,0.1165685648083048,-0.009221912659032,True,Marine ecology & paleoscience
14,directed_modularity,0.4832230250556656,0.5115945689100388,0.0283715438543732,True,Immune & inflammatory disease
14,audience_participation,0.7155890222929839,0.6816351464156363,-0.0339538758773476,True,Immune & inflammatory disease
14,semantic_span,0.1255125413609049,0.1163733528973484,-0.0091391884635564,True,Immune & inflammatory disease
15,directed_modularity,0.4792730711414456,0.5072892607460429,0.0280161896045972,True,Cardiovascular medicine
15,audience_participation,0.7193763333663759,0.6859090820952916,-0.0334672512710843,True,Cardiovascular medicine
15,semantic_span,0.1259586921743743,0.1166160668157023,-0.0093426253586719,True,Cardiovascular medicine
16,directed_modularity,0.4832734180891581,0.5121825867976009,0.0289091687084427,True,Public health & care delivery
