source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
9,2,16369,19073,44923.72651600838,38445.561869859695,0.210010189239392,0.2230612513545941,0.0309131969804932,0.0279221312868458,-0.0029910656936474,0.0012076084043898,0.0010907639359251,-0.0001168444684647,0.0011491861701574,False,Cell & neural biology,"Reproduction, metabolism & animal science"
9,3,832,672,3067.934458255768,1085.210677266121,0.0143420313967665,0.0062963952113318,0.0021111263376048,0.0007881636665132,-0.0013229626710915,8.24700825873509e-05,3.0789214985325406e-05,-5.168086760202549e-05,5.662964878633815e-05,False,Cell & neural biology,Electrical & control engineering
9,4,41109,48235,111525.65878689288,93322.48670113088,0.5213620178757227,0.5414573139428198,0.0767437371258583,0.0677779852588589,-0.0089657518669994,0.0029979552744398,0.0026477127125627,-0.0003502425618771,0.0028228339935012,True,Cell & neural biology,Plant & microbial biology
9,5,1449,544,3332.3978810310364,983.3159574270248,0.0155783494356126,0.0057052017781165,0.0022931105699119,0.0007141598646072,-0.0015789507053046,8.957920457622477e-05,2.789829389440981e-05,-6.168091068181496e-05,5.873874923531729e-05,False,Cell & neural biology,Energy & thermal engineering
9,6,7472,11052,21518.376903772358,22316.23164629936,0.1005944688064878,0.1294788348624724,0.0148073607315227,0.0162077680634482,0.0014004073319254,0.0005784420575297,0.0006331482616363,5.4706204106595626e-05,0.000605795159583,False,Cell & neural biology,Clinical diagnostics & case reports
9,7,14516,10303,36724.53441178799,19253.91257226467,0.1716804686450005,0.1117112515192116,0.025271117387912,0.013983675838789,-0.011287441549123,0.0009872034188253,0.0005462652238084,-0.0004409381950168,0.0007667343213169,False,Cell & neural biology,Electrochemical materials
9,8,233,127,586.0740543603897,312.5490309000015,0.0027397888067158,0.0018134103015119,0.0004032929610401,0.0002269972046164,-0.0001762957564237,1.5754435540609402e-05,8.86753098493098e-06,-6.886904555678422e-06,1.2310983262770193e-05,False,Cell & neural biology,Humanities & politics
9,9,246423,296079,693863.7609745264,666864.0321414471,3.243685932793006,3.869146873087028,0.4774658912810357,0.4843280771642634,0.0068621858832276,0.0186519635443817,0.01892003136507,0.0002680678206883,0.0187859974547259,False,Cell & neural biology,Cell & neural biology
9,10,363,339,1031.1243979930878,593.7125257253647,0.0048203176082179,0.0034447216399514,0.000709543800094,0.0004311998130256,-0.0002783439870683,2.7717969668970372e-05,1.684460259835436e-05,-1.0873367070616017e-05,2.228128613366237e-05,False,Cell & neural biology,Social behavior & violence
9,11,25171,19160,59781.19904947281,39702.041258215904,0.2794661507180119,0.2303513480793273,0.0411370143411387,0.0288346834966342,-0.0123023308445044,0.0016069966584566,0.0011264123264387,-0.0004805843320178,0.0013667044924476,False,Cell & neural biology,Mental health & cognition
