qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
16,2016,22060,8936,13124,3173,estimated,-0.14938967217795196,0.13414860105784085,-0.41232093025132,0.11354158589541608,-0.3929588424915007,0.0996176763771276,1.8684257035203187,1.6091507161860974,Public health & care delivery,0.2654450994207813,0.6634361074639235
16,2017,21920,8615,13305,3269,estimated,-0.013004046401403235,0.08419709160978932,-0.17803034595659029,0.15202225315378382,-0.17330393798529686,0.17190656885488648,1.719989026221631,1.6977670103316536,Public health & care delivery,0.8772567526339959,0.9537169056447415
16,2018,24475,9603,14872,3537,estimated,0.008630041458719373,0.11509026020190566,-0.21694686853701572,0.23420695145445447,-0.1974050247400437,0.2536468544777119,1.7434051651730393,1.7585159335221077,Public health & care delivery,0.9402266583257745,0.9836926941287611
16,2019,25825,9697,16128,3708,estimated,0.0005695357021250347,0.14745327767399158,-0.28843888853889843,0.2895779599431485,-0.30619390461284424,0.2754211821220208,1.6241504962431554,1.625075771399997,Public health & care delivery,0.99691819252298,0.99691819252298
16,2020,30762,12868,17894,4212,estimated,-0.08663633986320929,0.14598736997074474,-0.372771585005869,0.1994989052794504,-0.3827694697769626,0.19665094415977405,2.311858775823404,2.119998807025426,Public health & care delivery,0.552879416031693,0.8597150854953639
17,2015,15538,5718,9820,1958,estimated,-0.20425569096993693,0.09966329515642236,-0.39959574947652476,-0.008915632463349116,-0.401507493174644,-0.0215266088108608,1.2150495521945042,0.9905738757639342,Surgical specialties,0.040417396424577104,0.26513812054522584
17,2016,16309,6577,9732,2023,estimated,-0.2717333842412609,0.09416266578064185,-0.45629220917131896,-0.08717455931120291,-0.4489188706750338,-0.09209916887802913,1.3673679110039072,1.042012849490409,Surgical specialties,0.00390436462924443,0.09147368559944093
17,2017,15617,5557,10060,2154,estimated,-0.17782111990335142,0.09271284309829735,-0.3595382923760142,0.0038960525693113868,-0.34603374560336175,-0.007920771233133993,1.302633221059144,1.0904240426636571,Surgical specialties,0.055113901276514575,0.28323197801281697
17,2018,16831,5715,11116,2313,estimated,-0.20596507703116412,0.09388738243366843,-0.3899843466011542,-0.021945807461174,-0.38882593046810177,-0.029041425378696892,1.285106146387585,1.0458984137046166,Surgical specialties,0.02825366921698332,0.21061826143569382
17,2019,21272,6175,15097,2307,estimated,-0.045984872984501324,0.09236316451721374,-0.22701667543824025,0.1350469294692376,-0.2327528349970081,0.1276401572529452,1.138701016623425,1.0875237041280985,Surgical specialties,0.6185754883442253,0.8597150854953639
17,2020,20386,7830,12556,2450,estimated,-0.2254639539452823,0.07418154734130218,-0.3708597867342346,-0.08006812115633002,-0.35310234585435873,-0.07983411388292684,1.3734884194312953,1.0962440544367194,Surgical specialties,0.0023708639153134266,0.0777643364222804
18,2015,26953,12491,14462,4718,estimated,3.498804416918003,6.865878858546169,-9.958318145832486,16.955926979668494,-9.105037434831567,16.062715870842634,11.308349831640575,374.0336598340239,Editorial & miscellaneous records,0.6103365665359071,0.8597150854953639
18,2016,27173,13136,14037,4755,estimated,0.6590997438524151,1.0357438964201438,-1.3709582931310664,2.6891577808358966,-1.4381197509517072,2.635180831288671,34.98852953396539,67.63462283347693,Editorial & miscellaneous records,0.5245457332173058,0.8597150854953639
18,2017,25385,11914,13471,4749,estimated,0.25820848378791084,0.44441585747460066,-0.6128465968623065,1.1292635644381281,-0.5717751833126934,1.103402184176598,11.156299559002713,14.443042417744747,Editorial & miscellaneous records,0.5612361002222045,0.8597150854953639
18,2018,24490,11431,13059,4721,estimated,-0.31190570838146225,0.74421518629154,-1.7705674735128807,1.1467560567499562,-1.70986692598935,1.1798170150439156,29.644676837427436,21.701402019145963,Editorial & miscellaneous records,0.6751380192499852,0.8787510726745839
18,2019,24507,10888,13619,4892,estimated,1.3663895998261344,0.5327087508407604,0.322280448178244,2.410498751474025,0.2908985941345837,2.394671980289589,8.644667944173028,33.89719637162519,Editorial & miscellaneous records,0.010318046389018167,0.12455712203020827
18,2020,23582,10616,12966,4887,estimated,0.03099070125538006,0.2798274142883495,-0.517471030749785,0.5794524332605451,-0.484439377984768,0.5000333773474867,13.375257344165318,13.796255772802674,Editorial & miscellaneous records,0.9118151194823789,0.9710238934747413
19,2015,13477,4058,9419,619,not_estimable,,,,,,,,,Synthetic chemistry,,
19,2016,13188,3631,9557,613,not_estimable,,,,,,,,,Synthetic chemistry,,
19,2017,11633,2644,8989,685,not_estimable,,,,,,,,,Synthetic chemistry,,
19,2018,11502,2757,8745,673,not_estimable,,,,,,,,,Synthetic chemistry,,
19,2019,10248,2293,7955,703,not_estimable,,,,,,,,,Synthetic chemistry,,
19,2020,10249,2616,7633,702,not_estimable,,,,,,,,,Synthetic chemistry,,
20,2015,15344,6699,8645,1723,estimated,-0.28500438893179014,0.125999459477933,-0.5319633295085389,-0.03804544835504145,-0.5374119014569595,-0.03154529237023441,1.3008617015021025,0.9782622488920416,Civil & structural engineering,0.023700536032863262,0.19434439546947874
20,2016,16873,7052,9821,1745,estimated,-0.09273174902604708,0.09076730340428531,-0.27063566369844627,0.0851721656463521,-0.26893346483421227,0.0788432649744477,1.0430175834262654,0.950645820179242,Civil & structural engineering,0.30695006042631323,0.6978537830261355
20,2017,18268,8241,10027,1839,estimated,-0.23430184860025727,0.1283580499214778,-0.4858836264463538,0.017279929245839265,-0.5042717580643161,0.008309923673710466,1.039859828016062,0.8226570064288068,Civil & structural engineering,0.06794413827481062,0.3011578020829444
20,2018,19828,8081,11747,1915,estimated,-0.26007555912517766,0.13677324666248666,-0.5281511225836515,0.008000004333296173,-0.5599555638800021,0.005611351942134652,0.9985813318491104,0.7698995443422452,Civil & structural engineering,0.05723537513775689,0.28323197801281697
20,2019,19630,7886,11744,2021,estimated,-0.44633425114124137,0.23847008809299136,-0.9137356238035044,0.021067121521021692,-0.9184069670437591,-0.03405097900720337,1.2226000365756677,0.7824271322630753,Civil & structural engineering,0.06125404802248465,0.2852620794048153
