candidate,stage,covariate,mean_broad,mean_specialized,smd
primary_leaves_63,raw,lead_country=KW,0.00045165442839357453,0.00031512973352033663,-0.006973897407551806
primary_leaves_63,raw,lead_country=KY,1.3015977763503588e-06,6.136044880785413e-06,0.0025069478799837476
primary_leaves_63,raw,lead_country=KZ,0.0010581989921728417,0.0004900070126227209,-0.0204308550074872
primary_leaves_63,raw,lead_country=LA,1.8222368868905025e-05,2.279102384291725e-05,0.0010088927917131013
primary_leaves_63,raw,lead_country=LB,0.0005317026916391216,0.0006057152875175315,0.00310444980324063
primary_leaves_63,raw,lead_country=LC,9.761983322627691e-06,1.753155680224404e-06,-0.003337730042416456
primary_leaves_63,raw,lead_country=LI,1.041278221080287e-05,1.5778401122019637e-05,0.0014827236835828381
primary_leaves_63,raw,lead_country=LK,0.0008271653868706531,0.0004115532959326788,-0.016705770514591586
primary_leaves_63,raw,lead_country=LR,1.8222368868905025e-05,6.136044880785413e-06,-0.00346328334180658
primary_leaves_63,raw,lead_country=LS,1.4317575539853948e-05,1.3586956521739131e-05,-0.00019560125202457574
primary_leaves_63,raw,lead_country=LT,0.0010523418021792651,0.0006236851332398317,-0.014814194684022527
primary_leaves_63,raw,lead_country=LU,0.00015163614094481682,0.00019547685834502105,0.0033280933767883235
primary_leaves_63,raw,lead_country=LV,0.00047963878058510724,0.0002739305750350631,-0.010599684320450602
primary_leaves_63,raw,lead_country=LY,0.000145128152063065,5.084151472650772e-05,-0.009525700486534176
primary_leaves_63,raw,lead_country=MA,0.001794903333587145,0.0012004733520336605,-0.015371925512238274
primary_leaves_63,raw,lead_country=MC,8.460385546277333e-06,1.5778401122019637e-05,0.002102111561192091
primary_leaves_63,raw,lead_country=MD,0.00010868341432525496,8.50280504908836e-05,-0.0024037445580573327
primary_leaves_63,raw,lead_country=ME,0.00011779459875970748,7.231767180925667e-05,-0.004664690748159151
primary_leaves_63,raw,lead_country=MG,5.011151438948882e-05,4.119915848527349e-05,-0.001319036325935771
primary_leaves_63,raw,lead_country=MK,0.00023363680085488941,0.00011264025245441796,-0.009196409764206485
primary_leaves_63,raw,lead_country=ML,4.0349531066861124e-05,3.111851332398317e-05,-0.0015442461364561788
primary_leaves_63,raw,lead_country=MM,0.00013406457096408697,9.1164095371669e-05,-0.004042877800267306
primary_leaves_63,raw,lead_country=MN,0.00014057255984583876,7.670056100981767e-05,-0.0061284145389127
primary_leaves_63,raw,lead_country=MO,0.0002316844041903639,0.00024105890603085553,0.0006098202677040597
primary_leaves_63,raw,lead_country=MP,0.0,1.314866760168303e-06,0.0016216463788663504
primary_leaves_63,raw,lead_country=MQ,5.857189993576615e-06,1.753155680224404e-05,0.0034138782485619783
primary_leaves_63,raw,lead_country=MR,4.555592217226256e-06,4.821178120617111e-06,0.00012265758150461657
primary_leaves_63,raw,lead_country=MS,2.6682754415182356e-05,4.38288920056101e-07,-0.0071269750062089845
primary_leaves_63,raw,lead_country=MT,0.00013731856540496285,0.0001384992987377279,0.00010055081041044042
primary_leaves_63,raw,lead_country=MU,5.336550883036471e-05,4.55820476858345e-05,-0.0011066136743577912
primary_leaves_63,raw,lead_country=MV,1.3015977763503589e-05,7.012622720897616e-06,-0.001897081961564172
primary_leaves_63,raw,lead_country=MW,6.833388325839384e-05,7.582398316970547e-05,0.0008822651612820767
