omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant
27,semantic_span,0.12610208496863146,0.11682327581541933,-0.009278809153212123,True
28,directed_modularity,0.48282572504639376,0.5106224400739311,0.027796715027537333,True
28,audience_participation,0.716007225160213,0.682580941810307,-0.03342628334990594,True
28,semantic_span,0.12503514204666083,0.11583191195736654,-0.009203230089294287,True
29,directed_modularity,0.47836369362247244,0.5087523830202,0.030388689397727542,True
29,audience_participation,0.7210316122030496,0.6851408993207186,-0.03589071288233092,True
29,semantic_span,0.1259331119697119,0.11665427769766641,-0.009278834272045497,True
30,directed_modularity,0.48659436698131425,0.5156733350840472,0.02907896810273297,True
30,audience_participation,0.7129884738211594,0.6782144955852047,-0.03477397823595463,True
30,semantic_span,0.12574349900883336,0.11639373136348458,-0.009349767645348783,True
31,directed_modularity,0.48415198659593933,0.5124699171340126,0.028317930538073244,True
31,audience_participation,0.7146305704719803,0.6804558189992516,-0.03417475147272875,True
31,semantic_span,0.12470642617390791,0.11581480321332523,-0.008891622960582685,True
